address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant
0xca4c08042d1cc9f898599c6675e45923af385d0c,0.01556,68,4.164454054899205,0.0,0.0,0.61,159,42,47,False
0x6803d123aa157b643d7efbe96570b0f95e2b4e62,0.02113,68,1757.8562242405546,0.0,0.0,0.267,515,38,62,True
0xa0645bd28def701df72f9214f339f835469f0018,0.0,68,5.571589459796827,0.0,0.0,2.577,94,32,35,False
0x16da2dcace4609212e172e466d7d3bbc47c98dcb,0.00143,7,5.014327625518771,5.346219291615301,100.0,0.718,170,38,41,False
0x75325d182c581f4e7870b1542ecca0664af35217,0.14741,68,16.770753915386255,5.0,29.81,3.03,155,48,52,False
0x214def5ec16f0e744b82386a3c52e7bc39c081cb,0.0,21,3.3928305307506035,3.392834736512872,100.0,0.898,95,22,22,False
0xb984b6f567d76d29985404cae7593efb41011d41,0.00179,15,4.419807760163294,10.222779897930105,100.0,2.174,125,44,56,False
0xf1327d3e986bcb3848e91236425a016870ba5d72,6e-05,68,3.047444267428589,0.0,0.0,1.114,103,19,20,False
0xbc2e26ded32a96911b65ee2283a1e30f077bbc59,0.0061,0,72.89820384169123,74.90373372174354,100.0,0.826,389,50,50,False
0xcf263cf75c2b46094fcb08bd61a11426304feb6e,0.0,0,229.3571940359546,229.3571940359546,100.0,0.169,494,35,38,True
0x28802be823ac67a800e1ce212dd6dc1692249294,0.00527,68,4.921016406281332,0.0,0.0,1.0,119,25,26,False
0xe56b8925a911599f84b38bd10eb9cc2a0421e0fa,0.01479,68,15.905931559396103,0.1,0.63,0.366,418,45,55,False
0xc4a0b25d40d16d85b4efd4df024f3a6bcf5f7cd8,0.00023,1,3.5826539158057127,4.9,100.0,0.099,497,22,24,False
0xf4bee4e5109bac5daaa2d0fbfcf65d391a6f0a52,4e-05,68,3.932553377417044,3.93,99.94,0.568,98,28,26,False
0x8851bef8d6c006d357220b04eb9481bdedb238e2,0.00163,0,9.741788752655252,10.020288891863052,100.0,2.564,150,39,61,False
0xc766fc701f7eb4a0c858d173f079dc7a45124886,0.00038,36,3.239626691002361,3.239649324578782,100.0,0.686,101,24,24,False
0xd3ac6656d3f06368546f3a9baa0fa0e33f05ed94,0.00035,1,5.446191634042496,10.0,100.0,2.0,207,51,49,False
0xdbae47d529c54a154a59b9e0181eebe3d7812bef,0.00141,68,3.739007515828145,0.0,0.0,1.349,111,27,31,False
0x4b3595e2bd02f6fd3adf2f47e3f62217b15f3cd1,0.00187,68,4.690719247568524,1.0,21.32,0.604,140,36,45,False
0xe2f0e9be6c03d74f00259dc91d3e64ebd0a198c4,0.00043,68,3.2082516783221333,2.90412,90.52,0.733,118,38,39,False
0x531c89e2af2368e9834360ce587f1b3ceda2cbec,0.00107,68,3.34772240943917,0.0,0.0,1.415,109,28,30,False
0x1b014f5451ef993eb78b25a56a3bb8eb4df8682d,0.00253,68,3.7918245345484336,0.0,0.0,1.471,102,24,26,False
0x1788c62d9082312860b6d725317a73e273ab2865,0.00398,12,87.19386987842286,359.02764877891923,100.0,0.026,357,1,7,True
0x4f8f51da1f8f8f156f7a3729604b93f27a61fde1,0.0006,1,12.708452520771552,31.67877357318023,100.0,14.286,136,40,60,False
0xf0f624599cfc8d2edb7b08d4020bd14b71590273,0.00607,0,3.506931213807869,3.905081136320418,100.0,1.565,114,34,38,False
0xdf7d59a976add0cc8ef707c23fe7c21c0c760007,0.00015,68,3.263048100759377,1.5,45.97,0.015,322,2,2,True
0x5a6064e08de29636f8ef9b7d9d1d6ebbb9a40113,0.00033,6,3.317644574658994,3.317648945049105,100.0,1.611,97,29,29,False
0x9e4c5defa04ac52a3d20e5a8fe884fd1ba09c4f0,0.00012,68,5.96118386933389,0.0,0.0,2.5,98,36,39,False
0x5ee7b6d0735bdf71299b097c6b570ca3f23491b1,0.0,0,57.30548261762117,57.30548261762117,100.0,0.037,423,7,6,True
0xbb1453f112a675e7e581c31684fee71c51d3e297,0.00114,68,2.9562240323731075,0.0,0.0,0.836,123,22,24,False
0x490f1b5f718bc41449a85eae6abd86c72cf96102,0.00481,19,12.653012951048831,22.653012951048833,100.0,0.287,390,56,42,False
0x4347268ebc7e9e0f09d35972eb779f2f11a7068d,0.0156,68,5.222240435686,0.0,0.0,2.2,98,32,34,False
0x96d4b6362bfe8f610077686caa84108381e429a0,0.00117,39,7.044223407617031,7.423,100.0,1.695,97,47,53,False
0x50ae47077de7942909508faac53881fe820e6483,0.0,60,8.067468810251931,8.067478676237807,100.0,0.513,162,38,41,False
0x4625849b10e4670a94f3b722a990ed976130f7dc,2e-05,68,2.8551632396108286,0.0,0.0,1.548,99,23,25,False
0xe2631ad2e8ccfc2486935645d5f586ccb68f1753,0.00199,68,8.135200700503901,0.0,0.0,1.923,173,44,56,False
