address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant
0x9dd27621eacaa37f8421dd995bb556ff12189b07,0.01051,67,6.9667517196170206,0.0,0.0,0.385,314,42,53,False
0x8ef77ea8ee2e5cff9d3e362b3327620d7b84fcaf,0.07639,67,4.935938182813805,0.0,0.0,0.358,261,39,47,False
0x011e7a9d2e3f951462cdd4691eb7e4632e21f65c,0.00021,67,2.985947029672266,0.0,0.0,1.014,141,34,41,False
0xdef0829c669dc6d40990fcb77c86dc52636c3d51,0.00682,48,523.4828785681236,580.12,100.0,0.197,517,47,53,True
0x6776b04c0660f0460a8e09da457fbf819c77dc07,0.03873,67,33.24660744466808,0.0,0.0,8.333,187,45,55,False
0x2e96ef1980b7f362496c53e2c9f47a4e973b5989,0.0001,0,3.0801725118655106,3.080193549626548,100.0,1.6,96,24,24,False
0x185413b085305297778523428debdfe9022884a4,0.00051,41,3.642989206566619,3.643351385330625,100.0,0.721,111,32,30,False
0x6b5be33ac5fc7f08ea0511a105a5693254b468ec,0.0098,67,3.303778123825729,0.0,0.0,0.495,105,22,26,False
0xf46d36a35eca074dac347bab4f70d969e8cbce59,0.00138,67,5.621303374234981,5.2,92.51,0.469,280,46,54,False
0x49d31b3dded689c0fd3168307cb1f69f5c680f06,0.0025,0,14.317670239822004,14.377670239822008,100.0,20.0,160,45,55,False
0x19556942343680a12b4a5c3fef7136deb2be9414,8e-05,67,4.176931461606087,0.0,0.0,1.203,146,47,48,False
0xc932a93b5dbd975eeaf67b201ebc0aa669a3940f,0.01407,0,16.306718561441535,17.0,100.0,1.538,158,47,53,False
0x189ce16cbc8e43a6a1a6ba67581939ca34c55b26,0.02129,67,29.51486302297868,0.0,0.0,0.204,391,30,36,True
0x502fa9a9246e52bbf81c20e09d520832d9f04042,2e-05,3,17.73935858325023,17.73935858325023,100.0,5.882,207,48,52,False
0x54dd0ccedd3697db4a8f331d52701349266c0717,0.0016,0,6.965952514202124,6.965952514202124,100.0,0.571,313,51,49,False
0x0c68d18da1ba02279df75dcf66ceb2e1be1f7465,0.00466,67,10.329967351278167,0.26,2.52,0.705,125,43,43,False
0xb9eb804180f51f314c46fd55c71f0214c5b9c983,0.06372,67,4.129544205850333,0.0,0.0,0.621,105,27,27,False
0xb0034b31f17a07d83a9b4124660837f8a3350fe2,9e-05,18,3.276923990012393,4.27,100.0,0.673,149,30,38,False
0x650f5845ee00b30ada3e656a5a2b1001bb35db94,0.01207,67,11.64043820947464,0.5,4.3,14.286,141,44,56,False
0xda7381e0cee16fb2967268d31115174425567134,0.01054,67,3.897701718392449,2.0,51.31,0.56,144,38,41,False
0x9fef296d8dc2e5c3ceae453b88ea69632d7b4a5e,0.00034,7,32.474615815005095,33.5,100.0,0.515,432,39,61,True
0xe4ae9833d75cb89d815c5bdf0b5c19e661cb2473,0.00182,67,3.707301531524864,0.0,0.0,1.379,96,18,22,False
0x05e2f3496b5b49f54a14ed6c8a92d41c67958a97,0.00026,67,7.0892014343097145,7.008863998334561,98.87,1.767,94,26,27,False
0x8157ff2f4a0df9370041cf1983cf1ccde52fa596,0.07239,67,2.839271620382576,0.0,0.0,0.857,108,29,31,False
0x2bd134d720ebea6959963b3d981874a562a1ba79,1e-05,67,6.9547674217248,6.1,87.71,4.545,150,47,53,False
0x438f8969d1965e0e30d1445801b66052cee0d6c3,4e-05,67,4.101094716910909,0.0,0.0,1.794,101,28,33,False
0xd1d1728ee45839b816f0f1abf1ba6a94e13873aa,0.0,42,3.6903468199112712,3.690353608809255,100.0,0.595,136,32,34,False
0x1a7cd6e71a4e8f529e624ffd8c4013bf70b88d92,0.00224,11,10.308803448130618,26.0,100.0,1.786,200,48,52,False
0xcaf692fdcbeacf2d0a5521a19f067e98e3a45911,0.38695,67,3.053497108496184,0.0,0.0,0.012,320,1,2,True
0x54f7e144972816e637e609825483fb2a179398ac,0.0,67,3.283586598929602,0.0,0.0,0.652,159,28,32,False
0xb4858e4425dfe03c7701bc96fe6e126636b77adf,0.00586,0,6.574053610667079,16.231489072325463,100.0,0.276,305,29,37,False
0x9f28e1bdece14e891b60a9f15c7097cfe4a096a8,0.00544,0,6.393394744471171,6.393394744471171,100.0,0.067,305,8,8,True
