address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant,duration
0xe2f0e9be6c03d74f00259dc91d3e64ebd0a198c4,0.00043,68,3.2082516783221333,2.90412,90.52,0.733,118,38,39,False,Over 4 weeks
0x531c89e2af2368e9834360ce587f1b3ceda2cbec,0.00107,68,3.34772240943917,0.0,0.0,1.415,109,28,30,False,Over 4 weeks
0x1b014f5451ef993eb78b25a56a3bb8eb4df8682d,0.00253,68,3.7918245345484336,0.0,0.0,1.471,102,24,26,False,Over 4 weeks
0x1788c62d9082312860b6d725317a73e273ab2865,0.00398,12,87.19386987842286,359.02764877891923,100.0,0.026,357,1,7,True,1-2 weeks
0x4f8f51da1f8f8f156f7a3729604b93f27a61fde1,0.0006,1,12.708452520771552,31.67877357318023,100.0,14.286,136,40,60,False,Less than a week
0xf0f624599cfc8d2edb7b08d4020bd14b71590273,0.00607,0,3.506931213807869,3.905081136320418,100.0,1.565,114,34,38,False,Less than a week
0xdf7d59a976add0cc8ef707c23fe7c21c0c760007,0.00015,68,3.263048100759377,1.5,45.97,0.015,322,2,2,True,Over 4 weeks
0x5a6064e08de29636f8ef9b7d9d1d6ebbb9a40113,0.00033,6,3.317644574658994,3.317648945049105,100.0,1.611,97,29,29,False,Less than a week
0x9e4c5defa04ac52a3d20e5a8fe884fd1ba09c4f0,0.00012,68,5.96118386933389,0.0,0.0,2.5,98,36,39,False,Over 4 weeks
0x5ee7b6d0735bdf71299b097c6b570ca3f23491b1,0.0,0,57.30548261762117,57.30548261762117,100.0,0.037,423,7,6,True,Less than a week
0xbb1453f112a675e7e581c31684fee71c51d3e297,0.00114,68,2.9562240323731075,0.0,0.0,0.836,123,22,24,False,Over 4 weeks
0x490f1b5f718bc41449a85eae6abd86c72cf96102,0.00481,19,12.653012951048831,22.653012951048836,100.0,0.287,390,56,42,False,2-3 weeks
0x4347268ebc7e9e0f09d35972eb779f2f11a7068d,0.0156,68,5.222240435686,0.0,0.0,2.2,98,32,34,False,Over 4 weeks
0x96d4b6362bfe8f610077686caa84108381e429a0,0.00117,39,7.044223407617031,7.423,100.0,1.695,97,47,53,False,Over 4 weeks
0x50ae47077de7942909508faac53881fe820e6483,0.0,60,8.067468810251931,8.067478676237807,100.0,0.513,162,38,41,False,Over 4 weeks
0x4625849b10e4670a94f3b722a990ed976130f7dc,2e-05,68,2.8551632396108286,0.0,0.0,1.548,99,23,25,False,Over 4 weeks
0xe2631ad2e8ccfc2486935645d5f586ccb68f1753,0.00199,68,8.135200700503901,0.0,0.0,1.923,173,44,56,False,Over 4 weeks
0x10a669eaf229c464f12ee0a26af18dbab442677c,0.00017,0,20.36788473541356,20.37084230960233,100.0,0.277,487,47,53,True,Less than a week
0x2c39c02c2faf069e9348ea7c319f3f017e721cd2,0.00687,68,6.202802441676894,0.0,0.0,5.556,146,47,53,False,Over 4 weeks
0x045890c066b85e658b48b52bd3702dfea3dae824,0.00896,68,4.955612942436054,0.0,0.0,0.384,179,32,34,False,Over 4 weeks
0x871efe8009404f217bb1f59d6b02282eb6fbc420,0.04519,11,73.51777171059334,77.23927601489764,100.0,0.372,508,39,61,True,1-2 weeks
0xcdbf5cc03c9f04fcdc03de487c17d802ab1c3d5a,0.00339,68,6.3657119501631,2.5922878178138755,40.72,0.11,388,19,20,False,Over 4 weeks
0x3a7283652c471adfaa6822ae6794e392b1364730,0.01139,68,3.0862288414123547,0.0,0.0,0.667,150,31,33,False,Over 4 weeks
0x17b85cd288ca385df32f0d3fee010cad714e55e7,0.0019,68,3.3789336903016016,0.0,0.0,1.405,110,26,33,False,Over 4 weeks
0x1a67f175ffa73e12c274ba2d4add99a020ffb112,0.0003,43,4.32714616471815,5.327157912379849,100.0,0.667,123,29,37,False,Over 4 weeks
0x4ad2f734c49c79d94be54f7d820b5a33e938d194,0.00126,68,3.0050730848171865,0.0,0.0,1.091,134,35,37,False,Over 4 weeks
0xe07b78c09f698997ec1555e3d36e8c75e94bf258,0.0,68,3.428083190484957,0.0,0.0,0.726,163,33,36,False,Over 4 weeks
0xaea82a310c6dc710f438f1d9ad43df673dae408d,0.02904,38,135.09040270809902,135.09040270809902,100.0,0.027,321,4,4,True,Over 4 weeks
0xbeaed017288ee3a50de5c6ebc9b67a857f577949,0.00171,68,3.1550796542552373,0.0,0.0,1.14,119,27,30,False,Over 4 weeks
0xcc8e3fe8da6bba414b6cf46692ab028fc2f7e563,0.00012,68,4.396270722755296,0.0,0.0,1.077,133,32,38,False,Over 4 weeks
0x03ec1e3c13fb6b2b81e600842f22c52389d2e3d5,0.00106,68,2.941236788283069,0.954,32.44,0.472,131,25,26,False,Over 4 weeks
0xd5d60a20042489a4c2ecb75f1c054422f7ddf9c2,0.00164,68,3.4015566141736664,0.0,0.0,1.613,99,23,27,False,Over 4 weeks
0x8527fb73a2020aab707340c820ff4c7fee0c2f88,0.00154,0,34.24673396421319,35.0,100.0,0.435,322,48,52,True,Less than a week
0xf98f913b70d7d45edc32d6f9dd3c0b2e7a36e9a3,0.00096,68,9.239029769315056,8.360893085305982,90.5,25.0,135,50,50,False,Over 4 weeks
0x9e14a323611562069b92522d4b57757883c191ff,0.0,68,4.749470940935397,0.0,0.0,0.137,316,18,16,True,Over 4 weeks
0xa13385107fe845d4c39a139b772d6960bd737cc5,0.00302,68,2.9467968461641902,0.0,0.0,1.6,98,23,25,False,Over 4 weeks
0xd787e6d7ec9208ab0bd22527866121c227ba87b4,0.00617,68,3.5393178745867906,0.0,0.0,0.581,118,31,37,False,Over 4 weeks
0x9d148cff3d3cc84e0c366663cbaf818978247675,0.00154,68,5.62910832394481,0.0,0.0,0.847,127,49,51,False,Over 4 weeks
0x340f72b122ae5c6f4e89e8f72ce59443b17c2f53,1e-05,15,4.793080870711259,5.06328790683128,100.0,1.397,121,42,53,False,2-3 weeks
0x8c8e9120dd84347316d640034314474b0cf36d9c,0.00753,68,3.0610429410354434,0.0,0.0,0.579,129,30,36,False,Over 4 weeks
0x7c6f8ba71621d69716d3d6e30a3e349e2a7a8d9e,0.22832,68,3.177666274606576,0.0,0.0,0.035,322,4,5,True,Over 4 weeks
0xeef6c37c1e9cb5b7991b0c1bd178eacea8c04335,0.00053,35,6.434061931680933,8.0,100.0,1.587,290,51,49,False,Over 4 weeks
0xf3fefb661a19dc87e7e6a6b012efaff12fbe1e41,0.00314,15,142.13797097374072,166.580032,100.0,0.714,517,37,63,True,2-3 weeks
0x881d79fb3442e52ae955580cec2fbf8cb4481efa,0.01658,68,3.030308874465728,0.0,0.0,0.024,321,3,3,True,Over 4 weeks
0x08710502b61c4ff77839b9701aa6efa788e7f6db,0.00043,68,3.6130330751104034,0.0,0.0,1.818,101,28,32,False,Over 4 weeks
0x45d1e217bcd78a4fc784907efa5868c69f193e39,0.00035,0,96.26884608331724,96.26884608331724,100.0,4.0,357,49,51,False,Less than a week
0xd2169f817b936fa0c4023eb97b190d1495d342b8,0.0015,68,2.886586607438225,0.0,0.0,0.595,199,40,38,False,Over 4 weeks
0xe81608c183a245c9847174a2fe3ae22bac5b4c33,0.00069,68,5.178811656123557,0.0,0.0,3.226,123,45,55,False,Over 4 weeks
0xf973f23374f990346cbbe2a06375ce119cf1f706,0.02632,68,4.045581572792665,0.0,0.0,5.0,248,50,50,False,Over 4 weeks
0x367ca4480d7e069e3e357cf93a745982982fdf46,0.0032,68,190.57720514294024,66.0,34.63,0.279,426,50,50,True,Over 4 weeks
0x32d1b6ffde83dd73c040a50ba907655c4788400a,0.0,68,3.35824718475731,0.0,0.0,1.333,104,23,25,False,Over 4 weeks
0xe23430b4410cce3099c8cfa744c34cd8041e8ba8,0.00019,68,6.094311788447398,0.0,0.0,0.755,103,36,35,False,Over 4 weeks
0x229fd4fc7ca05e61d626ea0d8fe2622ab01fcf6f,0.01906,68,75.00615324791387,0.0,0.0,0.024,321,1,5,True,Over 4 weeks
0x3d29edf307bbc7828b01ec6bfc2675a6fa7193b6,0.00278,68,3.5429229353377694,0.0,0.0,0.016,321,1,3,True,Over 4 weeks
